# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
da dao 	达到	c=2 d=1.10699 t=24437
da di 	大抵	c=1 d=1 t=16652
da fa 	大法	c=3 d=1 t=22534
da fa 	打法	c=0 d=0.1 t=12074
da fa lei ting 	打法雷霆	c=1 d=1 t=12075
da gai 	大概	c=4 d=1 t=23448
da ge 	大哥	c=1 d=1 t=30314
da gong 	打工	c=1 d=1 t=15650
da hui 	大会	c=1 d=1 t=12961
da jia 	大家	c=6 d=1.15335 t=27816
da jian 	搭建	c=1 d=1 t=18148
da kai 	打开	c=17 d=2.21159 t=31502
da lao 	大佬	c=13 d=1 t=25249
da lu 	大陆	c=2 d=1.93239 t=10876
da ming 	大明	c=8 d=1.39932 t=31502
da ming jie 	大明劫	c=1 d=0.138761 t=31502
da pao 	大炮	c=1 d=1 t=13523
da pei 	搭配	c=1 d=0.00197932 t=31502
da pin 	打拼	c=1 d=1 t=2771
da quan 	大全	c=1 d=0.00755912 t=31502
da shen 	大神	c=1 d=1 t=25260
da shu 	大树	c=1 d=1 t=12728
da suan 	打算	c=15 d=1.15768 t=31502
da ta 	大他	c=1 d=1 t=18213
da xian 	大仙	c=1 d=1 t=15140
da xiao 	大小	c=3 d=1 t=30846
da xue 	大学	c=1 d=1 t=4226
da ye 	大业	c=1 d=1 t=24196
da yi 	大意	c=1 d=1 t=19748
da yi ma 	大姨妈	c=1 d=1 t=31497
da yin 	打印	c=3 d=1.9802 t=30349
da zhi 	大致	c=1 d=1 t=12380
da zi 	打字	c=6 d=0.856415 t=31502
da zou 	打走	c=1 d=1 t=19088
dai 	代	c=2 d=1.02317 t=2886
dai 	带	c=12 d=1.48188 t=31502
dai 	待	c=13 d=1.0488 t=29009
dai 	戴	c=1 d=1 t=20080
dai 	袋	c=1 d=1 t=13448
dai biao 	代表	c=2 d=1.98511 t=29374
dai dai 	呆呆	c=3 d=0.644036 t=31502
dai dian 	带点	c=1 d=1 t=27138
dai ding 	代订	c=1 d=1 t=30046
dai ding 	待定	c=1 d=1 t=21453
dai dong 	带动	c=0 d=0.000178203 t=31502
dai gou 	代沟	c=1 d=1 t=4381
dai kuan 	贷款	c=2 d=1.99501 t=30777
dai li 	代理	c=2 d=1 t=15952
dai ma 	代码	c=52 d=2.08857 t=31356
dai sen sai 	待森赛	c=1 d=1 t=14860
dai song 	带送	c=1 d=0.951229 t=31502
dai ti 	代替	c=1 d=1 t=155
dai xie 	代谢	c=1 d=1 t=9685
dan 	但	c=8 d=0.016174 t=31502
dan 	单	c=25 d=1 t=31393
dan 	淡	c=1 d=1 t=28475
dan ci 	单词	c=1 d=1 t=24014
dan ding 	淡定	c=1 d=1 t=12038
dan du 	单独	c=9 d=1.00749 t=30352
dan fan 	单反	c=2 d=0.199824 t=31502
dan ge 	单个	c=1 d=1 t=3530
dan hao 	单号	c=1 d=1 t=23512
dan ji 	单击	c=1 d=1 t=25374
dan kao 	单靠	c=1 d=0.171187 t=31502
dan shi 	但是	c=11 d=0.927505 t=31502
dan shui 	淡水	c=0 d=0.1 t=7853
dan shui yu 	淡水鱼	c=1 d=1 t=7854
dan teng 	蛋疼	c=2 d=1 t=29714
dan wu 	耽误	c=1 d=1 t=30109
dan xin 	担心	c=1 d=1 t=5244
dan yuan 	单元	c=11 d=1.00223 t=25637
dan zhu tu 	弹珠图	c=1 d=1 t=16749
dang 	当	c=1 d=0.000210172 t=31502
dang 	档	c=1 d=1 t=30355
dang chu 	当初	c=1 d=1 t=8110
dang ci 	档次	c=1 d=1 t=26981
dang di 	当地	c=1 d=0.0459593 t=31502
dang du chang 	当赌场	c=1 d=0.00211225 t=31502
dang qian 	当前	c=8 d=1.61901 t=31502
dang ran 	当然	c=3 d=0.117655 t=31502
dang ri 	当日	c=1 d=1 t=28159
dang shi 	当时	c=6 d=1.71437 t=17824
dang tian 	当天	c=2 d=1 t=13839
dang wei 	档位	c=2 d=1.92774 t=9273
dang xia 	当下	c=1 d=1 t=24735
dang xin 	当心	c=1 d=1 t=17786
dang zhong 	当中	c=1 d=0.103312 t=31502
dao 	倒	c=8 d=1.50686 t=31502
dao 	刀	c=5 d=2.49861 t=8713
dao 	到	c=107 d=1.28208 t=31502
dao 	导	c=5 d=1.00654 t=8810
dao 	稻	c=1 d=0.145148 t=31502
dao 	道	c=2 d=1 t=24814
dao chu 	到处	c=1 d=1 t=24991
dao chu 	导出	c=25 d=1.99501 t=24990
dao da 	到达	c=2 d=1.03388 t=24102
dao di 	到底	c=1 d=1 t=6552
dao ji shi 	倒计时	c=5 d=2.35587 t=25568
dao li 	道理	c=3 d=1.05901 t=12747
dao ma 	到吗	c=1 d=1 t=22384
dao pian 	刀片	c=1 d=1 t=27805
dao ru 	导入	c=2 d=0.983287 t=31502
dao shi 	倒是	c=5 d=1 t=28546
dao shi 	到时	c=1 d=0.020141 t=31502
dao shi hou 	到时候	c=3 d=0.0110536 t=31502
dao yi ge 	到一个	c=1 d=1 t=19120
dao zhi 	导致	c=20 d=0.827705 t=31502
de 	得	c=60 d=0.172032 t=31502
de 	的	c=1524 d=8.67462 t=31502
de guo 	德国	c=1 d=1 t=28150
de neng 	的能	c=1 d=1 t=25484
de se 	得瑟	c=2 d=1.99501 t=31455
den 	扽	c=4 d=1.0767 t=31502
den an 	扽按	c=1 d=0.0023344 t=31502
den den jing 	扽扽经	c=2 d=0.0047516 t=31502
den fen fen fen fen 	扽纷纷纷纷	c=1 d=0.918512 t=31502
den jiang 	扽将	c=3 d=0.0315229 t=31502
den ling jian 	扽零件	c=1 d=0.00235786 t=31502
den sen sai 	扽森赛	c=1 d=0.88692 t=31502
deng 	等	c=41 d=0.0141931 t=31502
deng dai 	等待	c=1 d=1 t=2277
deng kuan 	等宽	c=3 d=2.68376 t=30601
deng lu 	登录	c=12 d=1.00032 t=31404
deng lu 	登陆	c=7 d=4.39092 t=30155
deng lu ye 	登陆页	c=1 d=1 t=30113
deng ni 	等你	c=1 d=1 t=28055
deng ta 	等他	c=1 d=1 t=19286
deng tong 	等同	c=1 d=1 t=30619
deng xia 	灯下	c=2 d=1 t=22382
deng xia 	等下	c=1 d=1 t=27156
deng zhe 	等着	c=3 d=1 t=30081
deng zhi 	等值	c=1 d=1 t=13674
di 	低	c=4 d=1 t=28693
di 	地	c=5 d=1.51159 t=31502
di 	滴	c=1 d=1 t=14848
di 	第	c=1 d=1 t=21280
di 	迪	c=1 d=1 t=3328
di 	递	c=2 d=1.99005 t=8168
di ao 	迪奥	c=1 d=1 t=563
di di 	滴滴	c=0 d=0.1 t=27254
di diao 	低调	c=1 d=1 t=29449
di er 	第二	c=2 d=0.748264 t=31502
di er ci 	第二次	c=1 d=1 t=6371
di er pian 	第二篇	c=1 d=1 t=27983
di er tian 	第二天	c=1 d=1 t=13656
di er ye 	第二页	c=1 d=1 t=281
di er zhong 	第二种	c=1 d=1 t=18741
di er zhou 	第二周	c=1 d=1 t=14272
di fang 	地方	c=36 d=0.440432 t=31502
di gai 	低改	c=1 d=1 t=13941
di hao 	帝豪	c=1 d=1 t=27016
di ka 	迪卡	c=1 d=1 t=4677
di san 	第三	c=4 d=0.763379 t=31502
di san fang 	第三方	c=1 d=1 t=18611
di san ji 	第三集	c=1 d=0.514274 t=31502
di tie 	地铁	c=1 d=1 t=16016
di tou 	低头	c=2 d=1.98511 t=1817
di tu 	地图	c=1 d=1 t=21193
di yi 	第一	c=4 d=0.744532 t=31502
di yi ci 	第一次	c=1 d=1 t=13471
di yi ge 	地一个	c=5 d=2.98012 t=29208
di yi ge 	第一个	c=3 d=1 t=29209
di yi pi 	第一批	c=1 d=1 t=27963
di yi ye 	第一页	c=1 d=1 t=277
di zhi 	地址	c=19 d=1.97531 t=30503
dia chen 	嗲陈	c=1 d=1 t=28760
dian 	典	c=1 d=1 t=20694
dian 	店	c=2 d=1.00005 t=14966
dian 	点	c=63 d=0.668328 t=31502
dian 	电	c=3 d=1.00309 t=16790
dian an 	点按	c=2 d=1.38098 t=498
dian ban 	点半	c=2 d=0.327915 t=31502
dian di 	垫底	c=1 d=1 t=9779
dian dong 	电动	c=2 d=1.92774 t=9303
dian hou 	点后	c=1 d=0.0253494 t=31502
dian hua 	电话	c=7 d=0.880489 t=31502
dian ji 	点击	c=5 d=1.97531 t=24007
dian ka 	点卡	c=2 d=1 t=14345
dian li 	店里	c=1 d=1 t=14971
dian ping 	点评	c=1 d=1 t=24607
dian qi 	电器	c=4 d=3.57108 t=18059
dian qian 	点钱	c=0 d=0.1 t=12202
dian shi 	点事	c=1 d=1 t=19852
dian shi 	电视	c=2 d=0.565525 t=31502
dian shi ju 	电视剧	c=1 d=0.124307 t=31502
dian ti 	电梯	c=1 d=0.0156076 t=31502
dian ying 	电影	c=3 d=0.82459 t=31502
dian zai 	点在	c=1 d=1 t=24669
dian zi 	点子	c=1 d=1 t=9547
dian zi 	电子	c=1 d=1 t=6041
dian zi shu 	电子书	c=1 d=1 t=9150
diao 	掉	c=14 d=0.470011 t=31502
diao 	调	c=1 d=1 t=3477
diao cha 	调查	c=1 d=1 t=16645
diao chu 	调出	c=10 d=1.00287 t=4373
diao yong 	调用	c=11 d=1 t=26749
diao yu 	钓鱼	c=1 d=1 t=20048
die 	蝶	c=1 d=1 t=18865
die shi 	碟式	c=1 d=1 t=18863
die ye 	蝶也	c=1 d=1 t=31399
ding 	定	c=7 d=1.00407 t=27541
ding 	订	c=3 d=2.82898 t=18639
ding dan 	订单	c=29 d=1.15153 t=22765
ding ding 	钉钉	c=14 d=1.97531 t=15553
ding fang 	订房	c=1 d=1 t=5576
ding piao 	订票	c=1 d=1 t=27348
ding qi 	定期	c=1 d=0.00477195 t=31502
ding shi 	定时	c=2 d=1.80654 t=31274
ding ti 	顶替	c=2 d=1.89137 t=24522
ding wan 	定完	c=1 d=1 t=18612
ding yi 	定义	c=9 d=0.00224287 t=31502
ding yue 	订阅	c=4 d=2.83255 t=17309
diu 	丢	c=2 d=1 t=31271
dong 	东	c=3 d=1.05765 t=21141
dong 	动	c=20 d=0.757283 t=31502
dong 	懂	c=7 d=1.00735 t=30411
dong an 	东岸	c=1 d=1 t=23989
dong che 	懂车	c=2 d=1.00002 t=31288
dong den dong 	动扽动	c=1 d=1 t=48
dong dong 	东东	c=3 d=0.0587185 t=31502
dong fang 	东方	c=1 d=0.0955997 t=31502
dong fen 	动分	c=1 d=0.965605 t=31502
dong hua 	动画	c=1 d=1 t=20101
dong jia 	东家	c=1 d=1 t=14962
dong jing 	动静	c=1 d=0.1 t=25347
dong jing fan 	动静烦	c=1 d=1 t=25348
dong li 	动力	c=1 d=1 t=26983
dong sheng 	东升	c=1 d=1 t=26601
dong shi 	董事	c=1 d=1 t=10557
dong si 	冻死	c=1 d=1 t=288
dong tai 	动态	c=2 d=1 t=7369
dong tian 	冬天	c=1 d=1 t=544
dong xi 	东西	c=17 d=1.01888 t=31495
dong xiao 	动晓	c=1 d=1 t=28543
dou 	抖	c=1 d=1 t=12763
dou 	斗	c=1 d=0.0428521 t=31502
dou 	都	c=129 d=0.600493 t=31502
dou ban 	豆瓣	c=1 d=1 t=9189
dou de 	都得	c=1 d=1 t=11712
dou hui 	都会	c=2 d=1.00004 t=24668
dou shi 	都是	c=7 d=0.0927997 t=31502
dou yao 	都要	c=2 d=1.83946 t=30005
dou yin 	抖音	c=2 d=0.00318278 t=31502
dou yong 	都用	c=1 d=1 t=27070
dou you 	都有	c=2 d=1 t=16231
du 	堵	c=3 d=0.442639 t=31502
du 	度	c=3 d=1 t=24358
du 	毒	c=1 d=1 t=30279
du 	读	c=6 d=3.90664 t=24772
du chang 	赌场	c=1 d=0.000210172 t=31502
du jie 	度劫	c=1 d=1 t=15142
du li 	独立	c=1 d=1 t=16196
du o 	读哦	c=1 d=1 t=29395
du shu 	读书	c=1 d=0.00436124 t=31502
du wan 	读完	c=2 d=0.149366 t=31502
du zhi 	读至	c=1 d=0.0845849 t=31502
du zi 	肚子	c=1 d=1 t=19457
duan 	断	c=1 d=1 t=15755
duan 	段	c=3 d=1 t=24672
duan 	短	c=1 d=1 t=1739
duan 	端	c=3 d=1 t=11346
duan duan xu xu 	断断续续	c=1 d=0.0645703 t=31502
duan lian 	锻炼	c=1 d=1 t=24405
duan luo 	段落	c=1 d=1 t=23447
duan shi jian 	段时间	c=1 d=1 t=19437
duan shi jian 	短时间	c=1 d=1 t=19438
duan wu 	端午	c=1 d=1 t=19110
duan wu jie 	端午节	c=1 d=1 t=15564
duan xin 	短信	c=11 d=1.00001 t=29560
duan yan 	断言	c=1 d=1 t=22024
duan yu 	短语	c=1 d=1 t=31502
duan yuan 	端圆	c=1 d=1 t=14664
dui 	对	c=49 d=0.346456 t=31502
dui 	队	c=6 d=0.530222 t=31502
dui ba 	对爸	c=3 d=1.99005 t=16759
dui bu 	对不	c=1 d=1 t=10065
dui bu dui 	对不对	c=1 d=1 t=18347
dui huan 	兑换	c=2 d=1 t=22774
dui jie 	对接	c=9 d=1 t=31311
dui le 	对了	c=1 d=1 t=4116
dui qi 	对其	c=2 d=1.74082 t=30878
dui qi 	对齐	c=4 d=3.69433 t=30921
dui shang 	对上	c=1 d=1 t=26707
dui wai 	对外	c=1 d=1 t=20303
dui xiang 	对象	c=4 d=1.02424 t=8196
dui ying 	对应	c=16 d=2.54418 t=29640
dui yong 	对用	c=1 d=1 t=29389
dui zhang 	队长	c=1 d=0.0510474 t=31502
dun 	吨	c=1 d=1 t=23604
dun dun 	顿顿	c=1 d=1 t=16409
duo 	多	c=63 d=0.644818 t=31502
duo ci 	多次	c=1 d=1 t=24489
duo da 	多大	c=4 d=0.0422281 t=31502
duo ge 	多个	c=4 d=1.23575 t=29685
duo hang 	多行	c=1 d=1 t=22554
duo he shui 	多喝水	c=1 d=1 t=29309
duo ji 	多级	c=2 d=1.98511 t=17446
duo jiu 	多久	c=8 d=1.0002 t=24941
duo qian 	多钱	c=1 d=1 t=27548
duo sha 	多杀	c=1 d=1 t=20521
duo shao 	多少	c=15 d=0.446656 t=31502
duo shao qian 	多少钱	c=1 d=1 t=27549
duo tai 	多太	c=1 d=1 t=10706
duo tai 	多态	c=1 d=1 t=10717
duo ye qian 	多页签	c=1 d=1 t=29485
duo yong hu 	多用户	c=1 d=1 t=30099
duo yu 	多余	c=1 d=1 t=28459
duo zhi 	多值	c=1 d=1 t=10390
e 	额	c=4 d=1 t=18901
e 	饿	c=3 d=1 t=27302
e 	鹅	c=3 d=2.98506 t=10881
e du 	额度	c=1 d=1 t=14570
e le 	饿了	c=2 d=1.99005 t=18223
e luo si 	俄罗斯	c=1 d=1 t=15966
en 	嗯	c=91 d=0.824432 t=31502
en 	恩	c=1 d=0.00119453 t=31502
en en 	嗯嗯	c=29 d=1.17553 t=30630
en lo 	嗯咯	c=27 d=1.00359 t=28154
en tong 	嗯通	c=1 d=1 t=30342
er 	二	c=6 d=0.755784 t=31502
er 	儿	c=1 d=1 t=3329
er 	而	c=9 d=0.0934807 t=31502
er qie 	而且	c=6 d=4.32462 t=29804
er shi 	而是	c=2 d=0.00328192 t=31502
er wei 	二维	c=1 d=1 t=18257
er wei ma 	二维码	c=1 d=1 t=13214
er wo 	而我	c=1 d=1 t=5585
er yang hua tan 	二氧化碳	c=1 d=1 t=9697
fa 	发	c=112 d=1.77625 t=31417
fa 	法	c=8 d=0.512164 t=31502
fa ban 	发版	c=17 d=1 t=30490
fa ban 	法版	c=1 d=1 t=2030
fa biao 	发表	c=1 d=1 t=24678
fa bu 	发布	c=4 d=0.00961941 t=31502
fa dong 	发动	c=2 d=1 t=26940
fa gui 	法规	c=1 d=1 t=31458
fa hui 	发挥	c=1 d=1 t=8118
fa kuan 	罚款	c=2 d=1.94649 t=13300
fa lv 	法律	c=3 d=1 t=31457
fa neng 	发能	c=1 d=1 t=17153
fa piao 	发票	c=3 d=1.95123 t=18470
fa qi 	发起	c=1 d=1 t=21837
fa qiang 	法强	c=2 d=1.9802 t=6914
fa sheng 	发生	c=1 d=1 t=10999
fa song 	发送	c=7 d=0.927956 t=31502
fa xian 	发现	c=24 d=1.83646 t=31502
fan 	反	c=2 d=1 t=18515
fan 	烦	c=6 d=1 t=27895
fan 	犯	c=1 d=1 t=24449
fan 	翻	c=4 d=1.45357 t=27570
fan 	返	c=2 d=1.99501 t=4919
fan 	饭	c=5 d=0.900325 t=31502
fan bian 	翻遍	c=1 d=0.07502 t=31502
fan dao 	翻到	c=1 d=1 t=28838
fan hui 	返回	c=11 d=1 t=26791
fan hui zhi 	返回值	c=1 d=1 t=4588
fan kui 	反馈	c=24 d=1.0062 t=30089
fan si 	反思	c=1 d=1 t=13989
fan wei 	范围	c=1 d=1 t=29750
fan ye 	翻页	c=14 d=6.04554 t=31502
fan yi 	翻译	c=0 d=0.1 t=26973
fan yi bei 	翻译被	c=1 d=1 t=26974
fan ying 	反应	c=1 d=1 t=13686
fan ying 	反映	c=1 d=1 t=6702
fan zheng 	反正	c=1 d=1 t=11880
fan zhuan 	反转	c=1 d=1 t=24638
fan zi 	贩子	c=1 d=1 t=17740
fang 	房	c=8 d=1 t=27799
fang 	放	c=49 d=3.68266 t=31057
fang 	方	c=9 d=1 t=31059
fang 	防	c=1 d=1 t=2118
fang an 	方案	c=13 d=2.09923 t=31408
fang bian 	方便	c=15 d=0.0576614 t=31502
fang bu fang bian 	放不方便	c=1 d=1 t=31058
fang da 	放大	c=2 d=1.81078 t=31502
fang da 	访达	c=2 d=0.878095 t=31502
fang dao 	放到	c=3 d=1 t=27834
fang fa 	方法	c=4 d=1 t=30755
fang fu 	仿佛	c=1 d=1 t=8186
fang hu 	防护	c=3 d=2.88391 t=5299
fang jia 	放假	c=1 d=1 t=15567
fang jian 	房间	c=1 d=1 t=10506
fang mian 	方面	c=1 d=1 t=6679
fang qi 	放弃	c=6 d=1.956 t=27642
fang sheng 	放生	c=1 d=1 t=9442
fang shi 	方式	c=28 d=1.0001 t=29709
fang wen 	访问	c=4 d=1 t=23095
fang xia 	放下	c=1 d=1 t=19451
fang xiang 	方向	c=4 d=2.94605 t=30625
fang xin 	放心	c=1 d=1 t=14973
fang yi qi 	放一起	c=1 d=1 t=30208
fang zai 	放在	c=2 d=1 t=29912
fang zhe 	放着	c=2 d=1.03936 t=10573
fang zi 	房子	c=5 d=1 t=27786
fei 	肥	c=5 d=1.00004 t=7097
fei 	费	c=2 d=1 t=22284
fei 	非	c=7 d=0.851977 t=31502
fei 	飞	c=4 d=1 t=19367
fei chang 	非常	c=3 d=0.00212284 t=31502
fei fei 	肥肥	c=2 d=0.1 t=16677
fei fei bu ping 	肥肥不平	c=1 d=1 t=16678
fei ji 	飞机	c=1 d=1 t=10843
fei jin 	费劲	c=1 d=1 t=9581
fei li pu 	飞利浦	c=1 d=1 t=9264
fei tian 	飞天	c=1 d=1 t=29430
fei xu gou 	非虚构	c=1 d=0.101774 t=31502
fei yang 	飞扬	c=1 d=1 t=17879
fen 	分	c=15 d=0.613711 t=31502
fen 	愤	c=1 d=1 t=24819
fen bie 	分别	c=2 d=1 t=6902
fen ci 	分词	c=1 d=1 t=19149
fen dian 	粉店	c=1 d=1 t=19803
fen diao 	分掉	c=1 d=1 t=19802
fen fei 	纷飞	c=0 d=0.1 t=12573
fen fen 	纷纷	c=1 d=0.0913931 t=31502
fen fen fang 	纷纷放	c=1 d=1 t=53
fen ge 	分割	c=1 d=1 t=17450
fen hong 	粉红	c=1 d=1 t=4110
fen kai 	分开	c=5 d=1 t=29204
fen lei 	分类	c=3 d=0.183599 t=31502
fen pei 	分配	c=4 d=2.12752 t=30786
fen ping 	分屏	c=1 d=1 t=30791
fen qing 	愤青	c=1 d=1 t=24827
fen xi 	分析	c=4 d=1 t=18707
fen xia 	分下	c=1 d=1 t=22127
fen xiang 	分享	c=10 d=1 t=29599
fen ye 	分页	c=1 d=1 t=14764
fen zhi 	分支	c=26 d=1 t=25785
fen zhong 	分钟	c=3 d=1.36788 t=21196
fen zu 	分组	c=3 d=1.13864 t=2984
feng 	封	c=0 d=0.0865022 t=31502
feng 	峰	c=43 d=0.873716 t=31502
feng 	疯	c=1 d=1 t=5776
feng 	逢	c=3 d=2.82645 t=31502
feng 	风	c=3 d=0.904837 t=31502
feng fan 	风范	c=1 d=1 t=17877
feng fu 	丰富	c=1 d=1 t=6985
feng ge 	峰哥	c=1 d=1 t=8496
feng ge 	风格	c=2 d=1.01271 t=27873
feng mian 	封面	c=1 d=0.0620385 t=31502
feng tian 	丰田	c=3 d=1.00122 t=30772
feng xian 	奉献	c=1 d=1 t=24813
feng xian 	风险	c=2 d=1 t=18592
feng zhuang 	封装	c=2 d=1 t=27193
fo 	佛	c=1 d=0.1 t=30269
fou 	否	c=3 d=1 t=31234
fou ze 	否则	c=1 d=1 t=24106
fu 	付	c=3 d=1 t=12916
fu 	副	c=1 d=1 t=30792
fu 	服	c=3 d=1 t=19619
fu 	氟	c=1 d=1 t=9374
fu 	福	c=4 d=0.0309049 t=31502
fu 	符	c=15 d=1 t=27826
fu chu 	付出	c=1 d=1 t=24075
fu dong 	浮动	c=1 d=1 t=10298
fu gai 	覆盖	c=7 d=0.0117959 t=31502
fu gai lv 	覆盖率	c=1 d=1 t=14784
fu he 	符合	c=2 d=1 t=21832
fu hua 	腐化	c=0 d=0.0140156 t=31502
fu huan 	福还	c=1 d=1 t=9373
fu lu 	附录	c=1 d=1 t=25445
fu shu 	负数	c=1 d=1 t=13886
fu tian 	福田	c=2 d=1.9802 t=27313
fu wan 	付完	c=1 d=1 t=5040
fu wu 	服务	c=20 d=0.393204 t=31502
fu wu dui 	服务队	c=1 d=0.0337087 t=31502
fu wu qi 	服务器	c=4 d=1.98511 t=25491
fu wu zhan 	服务站	c=1 d=0.035437 t=31502
fu xian 	复现	c=7 d=1.187 t=14252
fu yin 	福音	c=1 d=1 t=30709
fu yong 	复用	c=4 d=1 t=30984
fu za 	复杂	c=4 d=0.831104 t=31502
fu ze 	负责	c=6 d=0.835187 t=31502
fu zhi 	复制	c=8 d=0.00288912 t=31502
fu zhu 	辅助	c=2 d=1 t=26949
ga chen 	噶陈	c=1 d=1 t=2244
gai 	改	c=135 d=0.875045 t=31502
gai 	该	c=2 d=0.000178203 t=31502
gai bian 	改变	c=1 d=1 t=6522
gai cheng 	改成	c=0 d=0.000185476 t=31502
gai cheng shu pai 	改成竖排	c=1 d=0.00186406 t=31502
gai dai dong 	该带动	c=1 d=0.00179097 t=31502
gai dong 	改动	c=7 d=1 t=28975
gai gai 	改改	c=2 d=1.04138 t=13009
gai jin 	改进	c=3 d=1 t=24053
gai qian 	改签	c=7 d=2.7397 t=22860
gai shan 	改善	c=1 d=0.0380064 t=31502
gai wan 	改完	c=2 d=1 t=26029
gai wei 	改为	c=2 d=1 t=13928
gai xia 	改下	c=4 d=1 t=16771
gan 	干	c=2 d=1 t=24701
gan 	敢	c=8 d=1 t=31104
gan 	肝	c=5 d=0.1 t=19807
gan bu guo 	干不过	c=1 d=1 t=11677
gan diao 	干掉	c=2 d=1 t=25147
gan dong 	感动	c=1 d=1 t=9914
gan jie 	肝接	c=1 d=1 t=23800
gan jing 	干净	c=1 d=0.00194986 t=31502
gan ju 	柑橘	c=1 d=1 t=16833
gan juan 	干卷	c=1 d=1 t=4971
gan jue 	感觉	c=46 d=0.701173 t=31502
gan liang 	干粮	c=1 d=1 t=24949
gan ma 	干嘛	c=6 d=1 t=29084
gan ran 	感染	c=2 d=1 t=20038
gan ren 	感人	c=1 d=1 t=14896
gan sha 	干啥	c=1 d=1 t=12223
gan shou 	感受	c=1 d=1 t=9758
gan wen 	感温	c=1 d=1 t=28128
gan wu 	感悟	c=1 d=1 t=26454
gan xie 	感谢	c=6 d=1 t=25273
gan xing qu 	感兴趣	c=1 d=1 t=12900
gang 	刚	c=29 d=0.0982795 t=31502
gang 	港	c=1 d=1 t=2155
gang dao 	刚到	c=2 d=1 t=28124
gang gang 	刚刚	c=13 d=0.968843 t=31502
gang gang ge 	刚刚个	c=3 d=1.9871 t=21970
gang hao 	刚好	c=1 d=1 t=29284
gang kan dao 	刚看到	c=1 d=1 t=19730
gao 	搞	c=81 d=1.07777 t=31502
gao 	稿	c=8 d=1.05234 t=26809
gao 	高	c=12 d=0.472367 t=31502
gao de 	搞得	c=2 d=1.00001 t=13244
gao du 	高度	c=1 d=1 t=16475
gao gai di 	高改低	c=1 d=1 t=13016
gao gao 	搞搞	c=1 d=1 t=27377
gao gao 	高高	c=1 d=1 t=27376
gao gen 	高跟	c=1 d=1 t=4271
gao gen xie 	高跟鞋	c=1 d=1 t=4293
gao ji 	高级	c=1 d=1 t=10576
gao jie 	高阶	c=3 d=2.60699 t=17297
gao jing 	告警	c=16 d=1 t=19393
gao ju 	高居	c=1 d=1 t=10468
gao kao 	高考	c=2 d=1.98511 t=24498
gao le 	搞了	c=2 d=1 t=25103
gao pin 	高频	c=1 d=0.331211 t=31502
gao shou 	高手	c=2 d=1.99501 t=22985
gao su 	告诉	c=7 d=1.00001 t=23874
gao su 	高速	c=3 d=0.0156858 t=31502
gao xiao 	高效	c=3 d=0.0217179 t=31502
gao yu 	高于	c=1 d=1 t=30584
ge 	个	c=217 d=0.368202 t=31502
ge 	各	c=0 d=0.1 t=4007
ge 	哥	c=39 d=1.00004 t=31424
ge 	歌	c=10 d=0.0652536 t=31502
ge 	隔	c=1 d=1 t=17451
ge 	鸽	c=5 d=2.98506 t=19343
ge chang 	歌唱	c=1 d=1 t=9029
ge ci 	歌词	c=1 d=1 t=13391
ge fang 	各方	c=1 d=1 t=24561
ge fu 	个付	c=21 d=4.81057 t=22771
ge ge 	各个	c=3 d=2.48282 t=2895
ge hang ge ye 	各行各业	c=1 d=1 t=19928
ge li 	格力	c=3 d=1 t=24938
ge li 	隔离	c=4 d=1 t=27559
ge li fu 	隔离福	c=1 d=1 t=5292
ge ming 	革命	c=1 d=1 t=2991
ge ren 	个人	c=12 d=1 t=28444
ge shi 	格式	c=5 d=1 t=17672
ge shi hua 	格式化	c=5 d=1 t=12989
ge wei 	各位	c=3 d=1.00002 t=27607
ge xian shen tong 	各显神通	c=1 d=1 t=4008
ge xing 	个性	c=1 d=1 t=29445
ge yue 	个月	c=1 d=1 t=22301
ge zhong 	各种	c=6 d=0.162995 t=31502
ge zi 	各自	c=2 d=1.00357 t=5133
gei 	给	c=84 d=1.08958 t=30344
gei ni 	给你	c=1 d=1 t=21977
gen 	根	c=2 d=0.00148848 t=31502
gen 	跟	c=21 d=0.449209 t=31502
gen jin 	跟进	c=6 d=1.09385 t=15722
gen ju 	根据	c=14 d=0.0605068 t=31502
gen ni 	跟你	c=1 d=1 t=15799
gen shui 	跟谁	c=1 d=1 t=11534
gen wo 	跟我	c=1 d=0.00208081 t=31502
geng 	更	c=12 d=0.139818 t=31502
geng 	梗	c=1 d=1 t=25094
geng duo 	更多	c=5 d=0.121238 t=31502
geng geng 	更更	c=2 d=1 t=19590
geng hao 	更好	c=2 d=0.00167826 t=31502
geng heng heng 	更哼哼	c=1 d=1 t=7173
geng jiu 	更久	c=1 d=1 t=13197
geng xin 	更新	c=19 d=1.53347 t=31502
geng you 	更有	c=2 d=0.118896 t=31502
gong 	公	c=3 d=1 t=28570
gong 	共	c=1 d=1 t=20667
gong 	功	c=2 d=1 t=24276
gong 	工	c=1 d=1 t=28571
gong an 	公安	c=1 d=0.0130365 t=31502
gong bei 	拱北	c=1 d=0.0261214 t=31502
gong beng 	公蹦	c=1 d=1 t=26530
gong cheng 	工程	c=1 d=1 t=8427
gong fu 	功夫	c=1 d=1 t=8454
gong gong 	公共	c=5 d=1 t=28749
gong ji 	攻击	c=4 d=3.4934 t=6905
